movie_country,传记,儿童,冒险,剧情,动作,动画,喜剧,奇幻,悬疑,爱情,犯罪,科幻,纪录片
中国大陆,0,0,1,8,1,2,1,0,0,0,0,0,1
丹麦,0,0,0,1,0,0,0,0,0,0,0,0,0
伊朗,0,0,0,2,0,0,0,0,0,0,0,0,0
印度,0,0,0,4,0,0,0,0,0,0,0,0,0
台湾,0,0,0,4,0,0,0,0,0,0,0,0,0
巴西,0,0,0,0,0,0,0,0,0,0,1,0,0
德国,0,0,0,5,0,0,0,0,0,0,0,0,0
意大利,0,0,1,6,0,0,0,0,0,0,1,0,0
新西兰,0,0,0,1,0,0,0,0,0,0,0,0,0
日本,0,0,0,18,1,11,0,0,0,0,1,0,0
法国,0,0,0,6,0,0,2,0,0,0,0,0,1
泰国,0,0,0,1,0,0,0,0,0,0,0,0,0
澳大利亚,0,0,0,1,1,0,0,0,0,0,0,0,0
爱尔兰,0,0,0,1,0,0,0,0,0,0,0,0,0
瑞典,0,0,0,1,0,0,0,0,0,0,0,0,0
美国,2,1,4,75,12,1,14,1,2,2,5,2,1
英国,0,0,0,9,0,0,2,0,0,0,2,1,0
西班牙,0,0,0,1,0,0,0,0,0,0,0,0,0
阿根廷,0,0,0,1,0,0,0,0,0,0,0,0,0
韩国,0,0,0,7,0,0,0,0,0,0,1,0,0
香港,0,0,0,10,2,0,5,0,0,1,1,0,0
