movie_num,movie_name,movie_year,movie_country,movie_type,movie_director,movie_score,movie_assess
3,这个杀手不太冷,1994.0,法国,剧情,吕克·贝松,9.4,1272902.0
4,阿甘正传,1994.0,美国,剧情,罗伯特·泽米吉斯,9.4,1097399.0
5,美丽人生,1997.0,意大利,剧情,罗伯托·贝尼尼,9.5,642352.0
6,泰坦尼克号,1997.0,美国,剧情,詹姆斯·卡梅隆,9.3,1037777.0
7,千与千寻,2001.0,日本,剧情,宫崎骏,9.3,1023390.0
10,忠犬八公的故事,2009.0,美国,剧情,莱塞·霍尔斯道姆,9.3,727130.0
11,机器人总动员,2008.0,美国,爱情,安德鲁·斯坦顿,9.3,731804.0
12,三傻大闹宝莱坞,2009.0,印度,剧情,拉库马·希拉尼,9.2,991494.0
13,海上钢琴师,1998.0,意大利,剧情,朱塞佩·托纳多雷,9.2,814205.0
14,放牛班的春天,2004.0,法国,剧情,克里斯托夫·巴拉蒂,9.3,686262.0
15,楚门的世界,1998.0,美国,剧情,彼得·威尔,9.2,757474.0
16,大话西游之大圣娶亲,1995.0,香港,喜剧,刘镇伟,9.2,766664.0
