movie_num,movie_name,movie_year,movie_country,movie_type,movie_director,movie_score,movie_assess
1,肖申克的救赎,1994,美国,犯罪,弗兰克·德拉邦特,9.6,1393335
2,霸王别姬,1993,中国大陆,剧情,陈凯歌,9.6,1031724
3,这个杀手不太冷,1994,法国,剧情,吕克·贝松,9.4,1272902
4,阿甘正传,1994,美国,剧情,罗伯特·泽米吉斯,9.4,1097399
5,美丽人生,1997,意大利,剧情,罗伯托·贝尼尼,9.5,642352
6,泰坦尼克号,1997,美国,剧情,詹姆斯·卡梅隆,9.3,1037777
7,千与千寻,2001,日本,剧情,宫崎骏,9.3,1023390
8,辛德勒的名单,1993,美国,剧情,史蒂文·斯皮尔伯格,9.5,573024
9,盗梦空间,2010,美国,剧情,克里斯托弗·诺兰,9.3,1104480
10,忠犬八公的故事,2009,美国,剧情,莱塞·霍尔斯道姆,9.3,727130
11,机器人总动员,2008,美国,爱情,安德鲁·斯坦顿,9.3,731804
12,三傻大闹宝莱坞,2009,印度,剧情,拉库马·希拉尼,9.2,991494
13,海上钢琴师,1998,意大利,剧情,朱塞佩·托纳多雷,9.2,814205
14,放牛班的春天,2004,法国,剧情,克里斯托夫·巴拉蒂,9.3,686262
15,楚门的世界,1998,美国,剧情,彼得·威尔,9.2,757474
16,大话西游之大圣娶亲,1995,香港,喜剧,刘镇伟,9.2,766664
17,星际穿越,2014,美国,剧情,克里斯托弗·诺兰,9.2,786975
18,龙猫,1988,日本,动画,宫崎骏,9.2,677868
19,教父,1972,美国,剧情,弗朗西斯·福特·科波拉,9.2,497763
20,熔炉,2011,韩国,剧情,黄东赫,9.3,442887
21,无间道,2002,香港,剧情,刘伟强,9.1,629437
22,疯狂动物城,2016,美国,喜剧,拜伦·霍华德,9.2,863747
23,当幸福来敲门,2006,美国,剧情,加布里尔·穆奇诺,9.0,802066
24,怦然心动,2010,美国,剧情,罗伯·莱纳,9.0,885428
25,触不可及,2011,法国,剧情,奥利维·那卡什,9.2,529728
26,蝙蝠侠：黑暗骑士,2008,美国,剧情,克里斯托弗·诺兰,9.1,511375
27,乱世佳人,1939,美国,剧情,维克多·弗莱明,9.2,369410
28,活着,1994,中国大陆,剧情,张艺谋,9.2,409884
29,少年派的奇幻漂流,2012,美国,剧情,李安,9.0,801768
30,控方证人,1957,美国,剧情,比利·怀尔德,9.6,175519
31,天堂电影院,1988,意大利,剧情,朱塞佩·托纳多雷,9.2,397155
32,鬼子来了,2000,中国大陆,剧情,姜文,9.2,335212
33,指环王3：王者无敌,2003,美国,剧情,彼得·杰克逊,9.1,402166
34,十二怒汉,1957,美国,剧情,Sidney,9.4,238702
35,天空之城,1986,日本,动画,宫崎骏,9.1,471013
36,摔跤吧！爸爸,2016,印度,剧情,涅提·蒂瓦里,9.1,766202
37,飞屋环游记,2009,美国,剧情,彼特·道格特,8.9,717628
38,大话西游之月光宝盒,1995,香港,喜剧,刘镇伟,9.0,618819
39,搏击俱乐部,1999,美国,剧情,大卫·芬奇,9.0,515015
40,罗马假日,1953,美国,喜剧,威廉·惠勒,9.0,536896
41,哈尔的移动城堡,2004,日本,动画,宫崎骏,9.0,520597
42,闻香识女人,1992,美国,剧情,马丁·布莱斯,9.0,458621
43,辩护人,2013,韩国,剧情,杨宇硕,9.2,316956
44,窃听风暴,2006,德国,剧情,弗洛里安·亨克尔·冯·多纳斯马尔克,9.1,318490
45,两杆大烟枪,1998,英国,剧情,Guy,9.1,352613
46,末代皇帝,1987,英国,剧情,贝纳尔多·贝托鲁奇,9.1,309506
47,飞越疯人院,1975,美国,剧情,米洛斯·福尔曼,9.1,355275
48,死亡诗社,1989,美国,剧情,彼得·威尔,9.0,389310
49,素媛,2013,韩国,剧情,李濬益,9.2,286704
50,指环王2：双塔奇兵,2002,美国,剧情,彼得·杰克逊,9.0,377718
51,寻梦环游记,2017,美国,喜剧,李·昂克里奇,9.0,730293
52,V字仇杀队,2005,美国,剧情,詹姆斯·麦克特格,8.8,594642
53,教父2,1974,美国,剧情,弗朗西斯·福特·科波拉,9.2,269721
54,指环王1：魔戒再现,2001,新西兰,剧情,彼得·杰克逊,9.0,423316
55,海豚湾,2009,美国,纪录片,路易·西霍尤斯,9.3,234273
56,饮食男女,1994,台湾,剧情,李安,9.1,290153
57,狮子王,1994,美国,剧情,Roger,9.0,402832
58,美丽心灵,2001,美国,传记,朗·霍华德,8.9,412658
59,情书,1995,日本,剧情,岩井俊二,8.9,513165
60,钢琴家,2002,法国,剧情,罗曼·波兰斯基,9.1,272189
61,本杰明·巴顿奇事,2008,美国,剧情,大卫·芬奇,8.8,538297
62,美国往事,1984,意大利,犯罪,赛尔乔·莱翁内,9.1,233242
63,看不见的客人,2016,西班牙,剧情,奥里奥尔·保罗,8.8,571893
64,黑客帝国,1999,美国,动作,安迪·沃卓斯基,8.9,402689
65,小鞋子,1997,伊朗,剧情,马基德·马基迪,9.2,199839
66,西西里的美丽传说,2000,意大利,剧情,朱塞佩·托纳多雷,8.8,509455
67,
68,哈利·波特与魔法石,2001,美国,奇幻,Chris,8.9,422168
69,让子弹飞,2010,中国大陆,剧情,姜文,8.7,877786
70,拯救大兵瑞恩,1998,美国,剧情,史蒂文·斯皮尔伯格,8.9,343275
71,致命魔术,2006,美国,剧情,克里斯托弗·诺兰,8.8,467465
72,七宗罪,1995,美国,剧情,大卫·芬奇,8.8,561298
73,被嫌弃的松子的一生,2006,日本,剧情,中岛哲也,8.9,414785
74,音乐之声,1965,美国,剧情,罗伯特·怀斯,9.0,315856
75,低俗小说,1994,美国,剧情,昆汀·塔伦蒂诺,8.8,461070
76,天使爱美丽,2001,法国,喜剧,让-皮埃尔·热内,8.7,623865
